elinevandewalle,haiyanhuang,jefdhondt
negative,negative,negative
Missing,negative,negative
Missing,Missing,negative
negative,negative,negative
negative,negative,negative
negative,Missing,negative
positive,Missing,positive
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
Missing,positive,Missing
Missing,neutral,Missing
Missing,positive,Missing
negative,neutral,Missing
positive,positive,Missing
positive,positive,positive
Missing,positive,Missing
negative,Missing,Missing
Missing,positive,positive
negative,Missing,Missing
positive,positive,positive
negative,negative,negative
positive,Missing,positive
positive,Missing,positive
negative,negative,negative
Missing,positive,positive
Missing,negative,Missing
Missing,positive,Missing
Missing,Missing,negative
Missing,positive,Missing
Missing,positive,positive
positive,positive,positive
Missing,negative,negative
Missing,positive,Missing
positive,positive,positive
positive,positive,positive
positive,positive,Missing
positive,positive,positive
Missing,positive,Missing
Missing,positive,Missing
positive,positive,Missing
negative,negative,Missing
negative,positive,negative
Missing,negative,Missing
neutral,neutral,positive
neutral,neutral,Missing
Missing,Missing,positive
positive,Missing,Missing
positive,positive,Missing
positive,negative,negative
Missing,positive,positive
positive,Missing,positive
Missing,positive,Missing
positive,Missing,Missing
positive,positive,positive
Missing,positive,Missing
Missing,positive,Missing
positive,positive,positive
positive,positive,positive
Missing,positive,positive
neutral,negative,Missing
Missing,positive,Missing
Missing,positive,negative
Missing,negative,Missing
positive,positive,positive
negative,negative,Missing
negative,negative,negative
Missing,negative,Missing
Missing,negative,Missing
negative,negative,negative
Missing,neutral,Missing
Missing,negative,negative
negative,Missing,Missing
positive,Missing,Missing
Missing,positive,Missing
positive,positive,positive
Missing,positive,Missing
negative,Missing,Missing
Missing,negative,negative
Missing,positive,Missing
negative,Missing,Missing
negative,negative,negative
Missing,negative,Missing
neutral,positive,Missing
Missing,positive,Missing
positive,positive,positive
positive,Missing,Missing
Missing,positive,Missing
Missing,neutral,positive
positive,positive,positive
positive,positive,positive
Missing,positive,Missing
positive,positive,Missing
negative,negative,Missing
Missing,positive,Missing
positive,positive,Missing
negative,negative,Missing
positive,positive,positive
positive,positive,positive
Missing,positive,Missing
positive,positive,positive
Missing,Missing,positive
positive,positive,positive
positive,positive,Missing
Missing,positive,Missing
positive,positive,positive
Missing,positive,positive
Missing,positive,Missing
Missing,neutral,Missing
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
positive,Missing,positive
positive,Missing,Missing
positive,positive,positive
Missing,positive,positive
Missing,positive,Missing
Missing,positive,Missing
positive,positive,Missing
negative,negative,Missing
Missing,positive,Missing
Missing,positive,Missing
negative,negative,negative
negative,Missing,negative
negative,negative,Missing
positive,positive,Missing
positive,positive,positive
Missing,Missing,negative
positive,positive,positive
negative,Missing,Missing
Missing,negative,Missing
negative,negative,negative
negative,negative,negative
Missing,Missing,positive
Missing,positive,positive
positive,Missing,Missing
Missing,positive,Missing
Missing,negative,Missing
neutral,Missing,Missing
positive,positive,positive
Missing,positive,Missing
positive,positive,Missing
negative,Missing,Missing
positive,Missing,Missing
Missing,positive,positive
negative,Missing,Missing
negative,Missing,Missing
positive,Missing,positive
negative,Missing,Missing
Missing,negative,positive
negative,Missing,Missing
Missing,positive,positive
positive,positive,positive
negative,negative,Missing
positive,negative,Missing
negative,Missing,Missing
positive,Missing,Missing
Missing,Missing,positive
positive,positive,Missing
positive,positive,positive
positive,Missing,Missing
positive,Missing,Missing
positive,positive,positive
Missing,Missing,positive
positive,Missing,positive
Missing,positive,Missing
positive,positive,positive
Missing,positive,Missing
positive,Missing,positive
Missing,positive,Missing
positive,positive,positive
Missing,Missing,positive
Missing,positive,Missing
Missing,negative,Missing
positive,Missing,negative
positive,Missing,Missing
negative,negative,negative
negative,Missing,Missing
Missing,negative,Missing
positive,Missing,Missing
positive,positive,positive
negative,negative,Missing
negative,negative,negative
negative,Missing,Missing
positive,Missing,Missing
negative,Missing,Missing
positive,positive,positive
positive,Missing,negative
positive,Missing,Missing
positive,positive,positive
positive,positive,positive
negative,negative,negative
neutral,positive,Missing
negative,negative,negative
Missing,neutral,Missing
negative,neutral,negative
negative,positive,Missing
Missing,neutral,Missing
Missing,neutral,Missing
negative,Missing,Missing
negative,Missing,positive
positive,Missing,positive
positive,Missing,positive
negative,Missing,Missing
positive,positive,positive
negative,positive,Missing
Missing,negative,Missing
positive,positive,positive
positive,Missing,Missing
negative,negative,Missing
positive,positive,Missing
negative,Missing,Missing
positive,Missing,Missing
negative,Missing,Missing
Missing,positive,Missing
Missing,Missing,negative
negative,Missing,Missing
positive,positive,positive
Missing,positive,positive
Missing,positive,Missing
Missing,Missing,positive
Missing,positive,Missing
Missing,neutral,Missing
positive,positive,positive
positive,positive,Missing
neutral,Missing,Missing
Missing,positive,Missing
Missing,negative,Missing
Missing,positive,Missing
Missing,negative,Missing
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
positive,negative,positive
positive,positive,positive
negative,Missing,negative
Missing,positive,Missing
Missing,negative,Missing
positive,positive,positive
positive,Missing,Missing
Missing,positive,positive
Missing,Missing,positive
positive,Missing,Missing
negative,Missing,Missing
negative,negative,Missing
negative,Missing,positive
negative,Missing,Missing
positive,Missing,positive
positive,positive,negative
positive,Missing,Missing
Missing,negative,Missing
Missing,Missing,positive
Missing,Missing,negative
negative,negative,neutral
positive,Missing,Missing
Missing,Missing,positive
Missing,Missing,positive
Missing,Missing,negative
positive,positive,positive
positive,positive,positive
Missing,Missing,negative
positive,Missing,Missing
negative,negative,Missing
negative,negative,Missing
Missing,negative,Missing
Missing,positive,Missing
negative,negative,negative
negative,negative,Missing
negative,negative,negative
Missing,negative,Missing
Missing,Missing,negative
neutral,Missing,negative
negative,Missing,negative
Missing,Missing,negative
negative,Missing,negative
Missing,Missing,negative
Missing,Missing,negative
Missing,positive,Missing
positive,positive,negative
negative,negative,negative
neutral,positive,Missing
Missing,Missing,positive
Missing,Missing,negative
positive,Missing,Missing
Missing,Missing,negative
Missing,Missing,negative
Missing,Missing,negative
positive,positive,positive
Missing,positive,positive
positive,Missing,positive
positive,Missing,positive
Missing,positive,Missing
Missing,positive,Missing
Missing,positive,Missing
Missing,positive,Missing
neutral,positive,positive
Missing,negative,Missing
Missing,positive,Missing
positive,positive,positive
Missing,positive,Missing
positive,Missing,positive
negative,Missing,Missing
Missing,positive,positive
Missing,negative,Missing
negative,negative,negative
Missing,negative,Missing
positive,positive,positive
Missing,positive,Missing
Missing,positive,Missing
Missing,negative,Missing
negative,negative,negative
Missing,positive,Missing
Missing,positive,Missing
negative,positive,Missing
positive,positive,positive
Missing,positive,Missing
positive,positive,Missing
negative,Missing,negative
negative,Missing,Missing
positive,Missing,Missing
positive,positive,Missing
negative,Missing,Missing
Missing,negative,Missing
Missing,Missing,positive
negative,Missing,negative
Missing,negative,negative
positive,positive,positive
negative,negative,negative
negative,negative,negative
Missing,Missing,negative
negative,Missing,Missing
positive,positive,Missing
positive,positive,negative
positive,positive,Missing
positive,positive,negative
negative,negative,negative
positive,positive,positive
negative,Missing,negative
negative,negative,negative
negative,Missing,Missing
Missing,positive,Missing
Missing,negative,Missing
negative,negative,Missing
negative,Missing,negative
Missing,Missing,positive
negative,negative,Missing
Missing,positive,Missing
positive,Missing,positive
Missing,Missing,positive
negative,negative,negative
positive,positive,Missing
positive,positive,positive
positive,positive,positive
positive,positive,Missing
positive,Missing,Missing
Missing,positive,positive
positive,positive,positive
Missing,positive,Missing
positive,positive,positive
positive,positive,Missing
Missing,negative,negative
negative,positive,positive
positive,Missing,Missing
negative,negative,Missing
positive,positive,positive
positive,Missing,Missing
negative,Missing,Missing
positive,Missing,Missing
neutral,Missing,Missing
Missing,negative,negative
Missing,positive,positive
neutral,Missing,Missing
negative,negative,negative
positive,positive,Missing
positive,positive,positive
Missing,positive,positive
negative,negative,negative
positive,positive,positive
Missing,Missing,positive
Missing,Missing,positive
negative,negative,negative
neutral,Missing,Missing
Missing,Missing,negative
negative,negative,negative
positive,positive,positive
positive,positive,positive
negative,Missing,negative
negative,negative,negative
positive,positive,positive
negative,negative,negative
Missing,Missing,positive
positive,positive,positive
positive,positive,positive
negative,negative,negative
negative,negative,negative
Missing,negative,negative
Missing,Missing,positive
positive,positive,positive
Missing,positive,Missing
Missing,positive,positive
positive,Missing,Missing
Missing,positive,Missing
Missing,neutral,positive
negative,negative,Missing
positive,positive,Missing
positive,Missing,Missing
Missing,positive,Missing
Missing,negative,Missing
negative,Missing,Missing
positive,Missing,Missing
positive,positive,Missing
Missing,negative,Missing
Missing,Missing,positive
negative,negative,Missing
positive,positive,Missing
Missing,positive,Missing
Missing,negative,Missing
Missing,positive,Missing
positive,positive,positive
positive,positive,Missing
Missing,positive,positive
positive,positive,positive
negative,Missing,Missing
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
negative,Missing,negative
Missing,Missing,positive
positive,positive,positive
positive,positive,positive
neutral,neutral,negative
Missing,Missing,positive
positive,positive,positive
Missing,positive,positive
Missing,Missing,negative
negative,Missing,Missing
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
positive,positive,positive
positive,Missing,Missing
Missing,positive,positive
Missing,positive,positive
negative,negative,negative
negative,positive,positive
negative,Missing,Missing
Missing,positive,Missing
positive,Missing,positive
Missing,positive,Missing
positive,Missing,Missing
Missing,positive,Missing
Missing,positive,Missing
Missing,Missing,negative
Missing,positive,Missing
positive,Missing,positive
